"","State","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","TotalPop"
"1500","Tennessee",14119,14905,2,84.8,9.8,0,0.6,0,22652,43925,3053,22994,1238,15.9,18.9,25.7,17,19.8,10,27.5,84.1,9.8,0,1.7,1.7,2.7,25.7,12368,76.9,15.1,7.9,0.2,5.9,29024
"1501","Oklahoma",17278,17481,3.2,82.8,1.8,7.9,0.2,0.1,26102,47539,1904,23911,953,14.3,19.2,29.1,16.2,23.3,15.4,15.9,83.8,9,0.1,1.9,1.5,3.7,29.1,14416,72.4,18.3,9.1,0.2,5.9,34759
"1502","California",11157,10322,58.4,36.3,0.9,1.1,1.5,0.1,12364,56481,4858,25676,2010,14,20.7,24.2,19.2,16.6,26.2,13.8,76.9,14.2,0.3,2.5,1.6,4.5,24.7,9470,76.6,13.4,9.7,0.2,5.9,21479
"1503","Texas",2127,1767,59.4,39.2,0.1,0,0,1,2658,60996,5615,31603,4027,6.5,5.5,31.6,13,18.6,19.6,17.2,84.3,9.6,0,1.4,0.4,4.3,19.7,1827,75,13.7,11.1,0.2,5.9,3894
"1504","California",245381,255562,26.4,63.8,1.4,0.5,3.9,0.3,354994,71769,1046,37767,713,10.7,13.1,37.2,20,22.4,10.6,9.8,75,11,1.9,3.1,2.1,6.9,25.2,249134,75.7,12.9,11.3,0.2,5.9,500943
"1505","Washington",9750,9511,62.3,35.2,0.3,0.4,1,0,8899,48131,5933,18415,867,23.1,31.6,22.8,13.9,14.1,29.2,19.9,71.3,18.6,0.2,2.2,1.9,5.7,17.8,7757,81.2,14.6,3.8,0.3,5.9,19261
"1506","Montana",17354,17160,4.2,91,0.5,2,0.8,0,27064,40480,2706,26248,1362,19.2,25.4,33.8,22.3,21.5,10.1,12.4,81.6,9.3,0.6,2.6,3,2.9,15.1,16310,76.4,18.3,5.1,0.3,5.9,34514
"1507","New York",40132,38187,2.8,90.5,3.9,0.2,0.5,0,61737,54664,1603,27957,702,11.6,17.2,33.8,18.8,22.2,11,14.2,82.5,7.3,1,4.3,1.4,3.4,23,37196,75.6,18,6.1,0.3,5.9,78319
"1508","Minnesota",15497,13560,2.8,89.6,1.9,2.4,0.5,0.1,22947,47285,1647,24044,878,13.6,17.3,25.1,23.9,20.3,14.9,15.8,77,13.9,0.6,3,1.2,4.3,31.1,12594,76.5,16.6,6.7,0.3,5.9,29057
"1509","North Carolina",13584,13861,15.4,63.3,18.6,0.2,1.5,0,19521,38254,3424,20900,1404,20.9,30.6,24.7,18.4,16.7,16.1,24.1,86.7,8.6,0.2,0.8,1.1,2.6,24,10541,76.6,16,7.1,0.3,5.9,27445
