"","State","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","TotalPop"
"1","Texas",280,284,88.5,11.3,0,0,0.2,0,296,24800,15011,13705,4641,24.8,29.9,19.1,28.4,24,28.4,0,97.2,0,0,2.8,0,0,16.3,183,66.1,33.9,0,0,0,564
"2","Texas",792,628,40.6,59.4,0,0,0,0,855,64886,26246,32885,6824,11.6,6.1,45.3,9.6,17.5,11.1,16.6,77.7,3.8,0,9.9,1.2,7.4,20.6,669,76.8,14.1,9.1,0,0,1420
"3","New Mexico",1861,1686,15.8,83.3,0.3,0.1,0.3,0,3023,42047,6181,22487,2766,21.5,33.1,39.2,12.5,29.6,17.4,1.3,58.1,4.6,0,17.6,3.7,15.9,14.6,919,60.4,24.9,14.7,0,0,3547
"4","Nevada",849,879,1.6,96.7,0.1,1.7,0,0,1306,67159,29806,35606,5205,10,0,30.6,13.6,17.7,25.3,12.7,53.4,8.8,8.6,24.7,0,4.4,22.5,904,55.1,28.4,16.5,0,0,1728
"5","Wyoming",1098,1381,4.3,89,0.1,4.1,0.7,0,1999,36793,5518,23370,2969,14.9,13.5,31.6,25.1,19.4,9,14.9,67.5,8.4,0.4,13.1,3.2,7.4,15.1,1067,43.4,39.9,16.7,0,0,2479
"6","Texas",39,35,16.2,74.3,0,5.4,0,0,59,80938,32455,35530,10371,17.1,0,33.3,0,12.8,5.1,48.7,71.8,12.8,0,7.7,0,7.7,22.4,39,53.8,28.2,17.9,0,0,74
"7","Nebraska",647,609,3.8,90,0.4,0.2,0.2,0,998,45375,7960,26852,2789,12.4,18.7,55.6,8.2,16.5,14.4,5.3,55.5,9.8,0,15.6,0.8,18.3,18.9,660,61.7,18.8,19.5,0,0,1256
"8","Nebraska",221,211,0.9,96.8,0,0,0,0,335,60714,10396,27241,4094,16,21.6,33.3,12,26.7,9.8,18.2,47.1,10.8,0,17,4.9,20.2,30.1,225,69.3,4.4,25.8,0.4,0,432
"9","Montana",560,526,0.2,99.8,0,0,0,0,861,47188,9425,29896,4059,5.1,1.8,53.3,8.9,16.8,16.1,4.9,66.7,3.8,0.5,8,2.6,18.3,12,576,41.7,18.2,36.8,3.3,0,1086
"10","Montana",377,413,2.4,94.6,0,0,1.5,0,634,42454,5000,22880,3156,17,25.6,35.6,12.4,22.7,25,4.4,70.2,5,0,10.7,2.6,11.5,17.6,388,66.8,19.1,10.3,3.9,0,790
"11","South Dakota",955,1079,2.2,96.3,0,0.4,0,0,1522,49882,2919,38776,7622,8.9,5.4,30.2,16.5,18,15.7,19.6,73.6,11.8,1.4,6.1,1.5,5.6,15.5,987,70.6,9.8,19.6,0,0.2,2034
"12","South Dakota",1196,1131,1.2,94.7,0,3.8,0.1,0,1839,46750,12352,29714,3473,10.9,0.9,41.3,20.4,15.3,11.9,11.1,65.8,7.1,0,14.2,0.3,12.6,12.2,1120,53.2,22.2,24.4,0.2,0.3,2327
"13","Texas",2622,1236,53,44.9,0.7,0.1,1,0,2114,46696,9020,17513,2719,8.5,13.8,30.8,16,22.5,20,10.7,79.3,12.1,0,3.5,0,5.1,22.5,1023,55,25.9,19.1,0,0.4,3858
"14","Nebraska",444,402,0.7,98.9,0,0,0.1,0,686,49706,4304,28257,3411,2.6,3.2,32.2,13.8,15.2,23.3,15.6,75,3.5,0,4.6,1.3,15.6,18.8,494,62.8,14.4,22.7,0.2,0.4,846
"15","Colorado",946,790,4.6,91.3,0,0.8,0,0,1362,40352,7713,23190,2985,14.1,19.7,26.3,24.3,23.5,17.6,8.3,60.3,13.5,0,17.2,0.1,8.9,19.2,797,64.5,24.2,10.9,0.4,0.4,1736
"16","South Dakota",1714,1690,0,93.9,4.6,1.1,0,0,2316,62448,4254,24805,3214,6.5,5.7,35.8,14.7,19.5,14.2,15.9,80,9.1,0.2,2.6,0.4,7.7,19.5,1638,74.4,13.9,11.3,0.4,0.4,3404
"17","Virginia",1020,1193,0,99.4,0,0.3,0,0,1929,45094,4452,32648,4226,10.6,13.5,28.4,15.1,26.6,23.1,6.7,72.7,10.3,0,12.8,0,4.2,22.5,905,62,29.2,8.8,0,0.5,2213
"18","North Dakota",1530,1441,2.5,96.7,0,0.3,0,0,2378,52417,5195,33599,2873,8.4,10.7,35.4,19.3,16.7,17.7,11,71.6,10.5,0.1,5.8,4,8,17.9,1550,64.3,17.5,17.9,0.3,0.5,2971
"19","South Dakota",756,634,0.9,95.5,0,1.5,0,0,1059,60694,4956,39888,7190,3.3,0.9,42.3,10.3,17.7,24,5.6,68.6,9,1.8,6.2,0,14.5,14.6,728,63.5,19.9,16.2,0.4,0.5,1390
"20","Nebraska",1468,1590,1.2,96.5,0,0.2,0.4,0,2401,42773,6964,29664,4110,16,22.3,40.2,19.2,18.7,12,9.9,74.5,6.7,0,8.5,1.8,8.4,14.5,1584,66.1,15.8,17.9,0.2,0.6,3058
"21","Nebraska",204,217,0,97.6,0,0,0,0,289,41250,6988,21799,3647,10.9,8.3,46.9,9.6,11.3,20.3,11.9,64.5,14.2,0,7.7,0,13.6,20.8,177,60.5,16.9,21.5,1.1,0.6,421
"22","Nebraska",260,277,0,99.6,0,0.4,0,0,433,58625,6306,29248,2798,8.9,9.6,49.5,10.8,10.5,15.6,13.6,57.3,4.1,0,4.9,0.7,33,26.7,295,43.7,17.6,38,0.7,0.7,537
"23","Nebraska",4603,4560,5.4,92.7,0.1,0.2,0.2,0,6795,56408,3628,30166,2081,7.1,6.9,33.9,17.6,18.2,16.2,14.2,83,9,0,3,0.9,4.2,13.8,4780,74.9,13.3,11,0.8,0.7,9163
"24","Kansas",1465,1434,1.2,94.5,0.1,1.3,1.6,0,2317,55197,7814,33233,3397,4.8,2.7,29.1,13.2,26.2,15.9,15.6,75.3,11.8,0,6.6,1.3,5.1,20,1747,63.7,25.4,10.8,0.2,0.8,2899
"25","South Dakota",2156,2053,1.5,88.4,0,7,0.5,0,3212,42679,4603,26169,1968,15.3,21.3,35.2,17.4,22.1,15.7,9.6,76.1,8.9,0,6.8,0.5,7.8,14.2,2017,67.8,15.7,16.2,0.2,0.8,4209
"26","North Dakota",2129,1977,1,97.1,0.1,0.7,0,0,3175,57463,3896,36653,3293,10.7,15.3,40,12.7,18.1,14.5,14.7,69.9,6.6,0,9.8,0.7,13,17.5,2019,64.5,13.4,20.5,1.6,0.8,4106
"27","Montana",1763,1883,1.6,93.9,0.1,0,1,0,2801,49761,4844,28065,2221,10.4,15.9,32.9,11.8,19.8,23.2,12.3,65.2,6.6,7.6,7.4,1.8,11.4,22.1,1621,72.2,16.8,11,0.1,0.9,3646
"28","North Dakota",1241,1302,5.4,92.1,0.5,0.5,0.5,0,1908,66023,2938,30888,2184,4.8,2.8,35.3,13.4,21,17,13.4,78.4,8.9,0.5,3,0,9.2,26.6,1212,68.3,15.8,15.6,0.3,0.9,2543
"29","South Dakota",1448,1492,0.6,94.9,0,2.7,0,0,2237,52543,3338,27603,2593,8.2,9.4,36.6,16.6,21.3,13.7,11.8,77.3,3.6,0.5,3.9,1.8,12.9,13.6,1477,68.4,11.8,19.6,0.3,0.9,2940
"30","North Dakota",930,962,1.7,93.9,0,0.7,0,0,1416,44018,10579,28840,5120,9.4,14.8,31.7,23.8,17.8,18.5,8.2,69.1,7.8,0,8.9,2.6,11.7,14.3,1012,70.8,15.5,12.5,1.1,0.9,1892
"31","South Dakota",1130,1188,2.3,93.1,0,2.3,1.2,0,1821,51597,4265,32853,3368,6.5,9.6,33.9,16.6,20.9,17.3,11.3,79,7.3,0,5.3,1.1,7.3,14.3,1159,73.9,12.2,12.5,1.5,0.9,2318
"32","Utah",425,277,3.3,94.9,0.1,0.9,0,0,539,85000,41001,28533,9141,4,0,19.8,46.4,4.8,13,16,46.6,2.8,0,42.4,0,8.1,18.6,293,73.7,21.8,4.4,0,1,702
"33","South Dakota",1552,1442,1.1,87.8,0,8.4,0,0.9,2305,63233,9643,32862,3707,5.8,4.4,38.1,15.7,21.3,16.1,8.8,76.8,10,0.3,4.3,1.6,7,16.4,1794,71.3,22.2,6.4,0,1,2994
"34","Nebraska",315,369,2.9,96.2,0.9,0,0,0,578,41607,9989,27714,3927,17.4,24.3,38.8,23,17.4,10.9,9.9,65.6,5,1,13,6,9.4,11.7,304,51,29.3,19.7,0,1,684
"35","South Dakota",720,723,0.1,97.2,0,1,0,0,1133,51548,8345,36158,7250,4.7,1.3,49.8,15.2,18.1,7.3,9.6,75.2,5.8,0,8.2,0.8,10,17.1,757,59.7,15.9,24.4,0,1,1443
"36","Nebraska",4495,4477,4.8,85.3,0.9,2.8,0.9,2.2,7087,46146,8364,24811,2566,14.3,10.8,37.9,22,22.7,10.3,7.1,71.7,8.4,0.1,14.4,2,3.4,12.8,4590,60.2,30.8,8.5,0.4,1,8972
"37","North Dakota",2008,1875,3,93.2,1,0.9,0.4,0,3047,60824,3964,36207,2159,4.3,3.7,30.2,12.1,15.1,12.5,30.1,73.5,8.5,0.3,7.9,1.3,8.5,13.8,2124,76.7,10.1,12.3,0.8,1,3883
"38","Montana",2865,2166,3.5,88,0.1,5.1,0.7,0,3995,46735,6131,26354,4373,16.6,20.8,31.7,24.8,19.1,15.3,9.1,65.6,10.6,0,16.5,0.7,6.6,14.9,2202,69.2,21.5,6.4,2.9,1,5031
"39","Texas",1747,1828,49.7,43,6.7,0.1,0.3,0,2290,52750,5566,25290,3206,18,24,27.4,12.3,18.5,24.3,17.5,86.1,8.3,0.4,1.3,1.2,2.7,20.9,1398,69.7,22.5,7.8,0,1.1,3575
"40","Kansas",584,626,22.1,74.8,0.8,0.7,0.2,0,883,47045,7304,25775,3624,11.5,23.3,35.2,14.3,26.8,14.8,8.9,72.7,10.2,0,5.6,3.1,8.4,12,560,65,20.7,14.3,0,1.1,1210
"41","Nebraska",256,246,0,98,0,0,0.6,1.4,396,52000,2382,28503,4324,9.8,15.1,44.7,9.6,11.7,22.7,11.3,55.6,10.1,0.4,7.6,2.5,23.8,20.6,282,65.2,16,18.8,0,1.1,502
"42","Nebraska",5157,5136,4.3,94,0.1,0.8,0.5,0,7758,52050,2484,27858,1425,8.9,8,36.9,17.3,19.9,14.5,11.4,73.4,9,0.4,5,1.1,11.1,14.3,5662,68.8,15.5,15.4,0.2,1.1,10293
"43","Nebraska",1474,1430,3.8,95.5,0.1,0,0,0,2197,58125,4387,30923,3070,4.8,4.9,37.7,14.2,19.3,19.9,8.9,79.1,7.7,0.1,1.9,0.3,10.8,13.7,1464,63.4,21.1,14.8,0.7,1.1,2904
"44","Montana",4869,4455,3,92.6,0.5,2.1,0.4,0,7122,59622,4284,29130,1883,12.3,23.2,33.9,19.5,17.9,15.9,12.9,74.4,10.4,0.2,5.5,1.4,8.1,17.4,4805,70.8,16.4,11.8,1,1.1,9324
"45","Nebraska",471,448,2.9,93.9,0.7,0.2,0,0,644,50278,12533,24624,2408,9.7,12.2,28,12.9,18.2,24.4,16.4,66.4,10.3,0,7.1,0.5,15.8,27.8,450,74.4,9.6,14.9,1.1,1.1,919
"46","North Dakota",1645,1673,1.3,95.9,0.2,0.8,0.2,0,2592,59500,6142,32665,2211,7.1,6.3,37.4,13.6,21.7,12.7,14.8,81.1,6.9,0,5.2,1.1,5.7,12.9,1769,66.2,14.5,17.9,1.4,1.1,3318
"47","Nebraska",368,352,1.1,97.8,0.1,0,0.1,0,575,48864,8813,28981,3882,7.7,13.3,48.4,11,16.6,20.1,4,56,6.3,0,7.7,1.6,28.3,18.8,428,55.4,12.9,31.8,0,1.2,720
"48","Kansas",1330,1302,2.7,94.6,0.1,0.9,0.8,0,2024,50817,3948,29352,2388,9,9.5,39.5,13.4,21.1,13.1,12.9,66.8,12.2,0,8.5,1.8,10.7,12.8,1295,61.9,19.5,18.5,0.2,1.2,2632
"49","Nebraska",2547,2586,2.3,95.5,0.3,0.3,0,0,4019,48151,2616,31129,4401,10.9,17.4,35.1,15.7,21.4,12.7,15.1,79.6,6.4,0.1,4.9,1,8.1,12.8,2560,74.5,12.6,12.6,0.3,1.2,5133
"50","Montana",923,805,3.2,88.8,0,6.9,0.5,0,1298,46193,3425,28230,3546,7.7,2,53.4,5.6,18.5,16.5,5.9,64.6,7.1,0,8.1,0,20.3,16.7,798,55.3,15.7,28.8,0.3,1.2,1728
"51","South Dakota",4057,2915,3,87.4,1.3,5,1.4,0,5667,52923,4051,24858,2413,10.3,14.3,40.5,18.2,14.9,9.1,17.2,71.9,10.6,0,5.1,1.1,11.2,19.6,2897,63.7,18.6,17,0.7,1.2,6972
"52","Kansas",3842,2934,7.7,84.5,4.9,0.3,0.1,0,5426,46224,6312,24404,2686,7.8,4.7,41.2,19.1,19.3,12.8,7.6,84.8,8.7,0,3.3,1.1,2.1,14.8,2799,54.1,36.2,8.8,0.9,1.2,6776
"53","Texas",3524,2297,26.2,59.6,8.4,0,1.4,0,4159,64427,4662,20676,2181,8.1,11.4,38,14.1,18.1,17.3,12.6,84,8.3,0,2.3,0.8,4.7,11.9,2049,76.2,13,8.8,2,1.2,5821
"54","Wyoming",12169,10754,15,81.5,0.5,0.3,2.2,0,16692,80049,4586,49200,4567,6.8,2.8,39.4,25.4,17,11.7,6.5,68.3,6.7,3.8,11.7,3.8,5.7,14.3,14492,82.1,11.4,6.5,0,1.3,22923
"55","North Dakota",4451,4186,2.7,93.1,0.9,2.7,0.4,0,6674,80337,5043,36720,2575,7.3,7.1,27.4,18,19.2,19.8,15.6,81.2,8.2,0.4,3.8,1.8,4.6,17.8,4474,79.5,13.2,7.2,0.1,1.3,8637
"56","North Dakota",5897,5677,2.5,84.6,0,9.3,0.6,0,8763,55927,3762,33884,3595,12.1,14.5,33.8,25.8,22.1,8.6,9.6,75.2,8.7,0.9,7.2,2.6,5.4,12.9,6141,73.8,16.8,9.3,0.1,1.3,11574
"57","North Dakota",1944,1873,1,95.7,0.3,1.1,0,0,3014,65505,7241,43144,5546,8.6,12.7,39.4,10.8,20.7,14.5,14.5,83.1,4.2,0,4.6,0.5,7.6,12.5,1927,66.4,12.6,20.8,0.3,1.3,3817
"58","Iowa",4540,4570,2.4,94.3,1.9,0.2,0.5,0,6843,50470,2584,27902,1585,7.1,10.6,33.3,19.6,20.1,10.3,16.7,78.6,12.7,0.3,4.3,1.5,2.7,15.3,4819,73.8,17.4,8.5,0.4,1.3,9110
"59","South Dakota",14134,12932,4.1,88,1.8,2.3,1.2,0,20389,54286,3943,26896,1372,8.8,10.5,31.9,18,22.6,14.4,13.1,77.3,12.3,0.2,1.8,0.6,7.7,20.5,13830,72.8,16.9,9.9,0.4,1.3,27066
"60","North Dakota",350,324,0.6,92.4,5.9,0,0,0,528,61250,13510,35118,5750,6.8,2.8,52.8,5.5,19.2,14.3,8.1,60.9,10.2,1.3,5.6,1.3,20.7,27.9,307,56.7,11.4,31.3,0.7,1.3,674
"61","North Dakota",1316,1141,4.9,93.8,0.5,0.2,0.2,0,1921,60225,5938,34455,4156,6.9,7,37.6,16.5,20.6,16.1,9.1,57.3,20.1,0.5,9.2,2.1,10.8,23.7,1276,64.8,16,18.3,0.9,1.3,2457
"62","Nebraska",960,953,3.9,94.2,0.2,0.2,0.9,0,1502,48125,6728,35602,8492,11.7,10.5,42.6,13.6,20.5,13.5,9.9,71.8,8.7,0.1,4.9,0.8,13.7,21.4,921,53.2,26.5,20.3,0,1.4,1913
"63","Nebraska",690,691,0.9,97.6,0.3,0,0,0,1151,52361,6729,33867,3876,9.7,7,37.6,17.9,18.2,18.9,7.4,71.8,7.6,0,5.9,0.5,14.2,16.2,760,65.8,14.1,20,0.1,1.4,1381
"64","South Dakota",1445,1294,6.7,88.8,1.6,2.3,0,0,1931,57257,3400,30872,2725,6.2,6.2,35.6,16.9,16.8,17.6,13.1,69.7,10.9,0,6.9,3,9.5,16.4,1462,67,16.2,16.6,0.3,1.4,2739
"65","Virginia",4229,4601,0.7,85.8,10.5,0,0.3,0,7465,63622,9637,35252,4783,10.6,22.8,29.9,14.2,27.3,12,16.6,77,12.9,0.3,0.7,3.7,5.4,32.5,4151,73.6,16.4,9.6,0.4,1.4,8830
"66","Minnesota",3214,3184,0.7,94,0.5,2.6,0,0,4923,52917,3391,28575,1268,9.9,9.9,37.6,14.7,21.1,14.2,12.5,79.1,10.9,1,2.2,0.4,6.3,18.5,3286,74.8,14.6,9.9,0.7,1.4,6398
"67","New Mexico",2645,1781,82.1,15.1,1.3,1.3,0,0,3575,26060,5152,18086,2125,13,19.8,32.2,31,27.7,7.5,1.5,81.8,9.2,0,2.4,3.4,3.1,18.3,1374,52.3,42.6,5.2,0,1.5,4426
"68","Texas",1590,1477,43.3,55.8,0.3,0.2,0,0,1967,54961,4119,25358,2477,14.8,24.6,29.2,8.2,19.3,19.4,23.9,76.7,14.7,0.4,4.5,1.3,2.4,20.1,1604,74.4,13.5,12.1,0,1.5,3067
"69","Texas",309,293,7.6,92.4,0,0,0,0,435,77708,14586,38923,11296,2.8,0,47.8,8.6,20.4,17.6,5.5,74.7,10.7,0,11.1,0,3.6,28.1,255,57.3,23.5,19.2,0,1.5,602
"70","Nebraska",2111,2141,2.8,95.7,0.4,0.2,0,0,3312,50270,5277,27271,2008,11.5,10.6,36.9,15.2,23.6,16.1,8.2,73.9,13.8,0,5.8,0,6.5,18.1,2349,69.9,15.8,14.2,0.1,1.5,4252
"71","Montana",4243,2609,2.1,90,0.6,4.2,1.1,0,5859,44352,4574,23990,2159,14.6,24.7,40.7,20.5,13.6,15.9,9.3,71.6,7.1,0.1,6.5,0.6,14.3,21.8,2552,63.6,25.4,10.9,0.2,1.5,6852
"72","Kansas",1300,1220,6,91.7,0.4,0.4,0.3,0,1960,50893,4620,27615,1961,8.7,7.9,41.9,13.1,20.6,15,9.4,69.3,11.9,0.3,6.3,1,11.3,15,1240,62.5,16.8,20.6,0.2,1.5,2520
"73","South Dakota",1673,1630,0.7,97.9,0,0,0.2,0,2602,50720,3525,33109,3373,8.2,11.6,39.7,13.4,20.6,20.7,5.6,74.8,5.7,0.8,4.7,0.8,13.1,13.3,1697,70.5,11.9,17.3,0.3,1.5,3303
"74","Texas",12188,12775,20.4,71.9,6,0.1,0.7,0,18780,56941,5047,30405,1931,9.1,10.1,22.3,18.7,26.2,16.2,16.6,85.3,8.4,0.2,1.9,1,3.1,22.8,11626,75.9,13.5,10.2,0.4,1.5,24963
"75","Kansas",1073,1016,10.7,83.1,1,1.4,0.9,0,1536,46094,6602,27087,2096,8.9,12,44.3,14.1,19.5,16.3,5.7,78.6,5.8,0,7.9,2.6,5.1,17.4,1029,66.4,18.9,14.4,0.4,1.5,2089
"76","Nebraska",2604,2637,4.7,81.9,0.5,8.7,0.4,0,4054,41209,2405,25817,2321,15.8,27.5,38.6,17.8,19.5,14.3,9.9,69.1,12.1,0,10.6,1.6,6.6,17.4,2619,65.8,18.7,15.1,0.5,1.5,5241
"77","North Dakota",10781,10277,2.3,92.9,1.1,1.5,0.6,0.1,16486,56088,2738,31182,1454,11.1,18,36.7,20.9,19,11.6,11.7,80.5,9.9,0.7,3.4,1.5,3.9,15,11038,76.3,15.8,7.4,0.6,1.5,21058
"78","South Dakota",2834,2690,2,86.3,0,10,0.1,0,4325,43902,3177,30841,2657,16.5,28.1,35.4,18.3,18.4,11.7,16.3,73.2,6.3,0.3,5.8,1.2,13.2,18.7,2776,67.9,15.6,15.8,0.8,1.5,5524
"79","South Dakota",684,597,1.8,93.8,1.3,1.9,0.7,0,957,55972,6862,30464,4077,12.9,10.5,38,10.2,19.4,21.4,11.1,51.7,12.2,0,8.2,0.8,27.2,22.7,660,57.1,16.5,19.8,6.5,1.5,1281
"80","Colorado",433,401,12.6,83.8,1.6,0,0.4,0,752,50385,6570,33018,3937,12,17.1,32.9,30.8,15.1,12.5,8.8,49.9,11.1,1.1,24.4,1.7,11.9,14,377,67.6,18.3,14.1,0,1.6,834
"81","Puerto Rico",818,676,91.6,7.7,0,0.3,0,0,1181,23355,3397,11450,1448,41.8,48.5,25.5,27.2,15.5,16.3,15.5,58,19.9,0,16.9,1.3,3.8,11.2,679,33.4,47.9,18.7,0,1.6,1494
"82","Nebraska",494,463,5.9,93.8,0,0,0,0,743,44946,16021,27183,4863,9,5.2,42.8,13.7,15.5,20.3,7.6,75.8,10.4,0.4,3.8,0.6,9,24.5,502,62,19.1,18.9,0,1.6,957
"83","North Dakota",1146,1175,1.8,89.2,0,5.6,0,0.1,1767,55294,8615,35444,5667,13.2,17,39.6,16.3,16.4,16.7,11,68.4,10.7,0,9.1,3.7,8.1,17.1,1180,56.9,20.9,22.1,0,1.6,2321
"84","Montana",560,561,3.7,96.2,0,0.2,0,0,855,47132,8601,24662,3106,10.8,9.1,41.6,17.6,15.5,15.5,9.9,71.1,7.6,0,7.8,0.5,13,18.6,563,54,27.7,18.1,0.2,1.6,1121
"85","North Dakota",1544,1682,5.1,92.6,0.1,1.2,0,0,2437,65435,6252,36318,3321,8.5,5.8,36.7,18.8,14.6,17.3,12.5,77.4,7.6,0,5.3,1.6,8.1,14.3,1796,72.5,11.9,15.3,0.3,1.6,3226
"86","South Dakota",2008,1963,1.7,97.4,0.1,0.4,0.1,0,2998,65380,7943,31836,2395,5.9,1.1,36.6,13.7,20.3,16.3,13.1,75.2,11.1,0,4.7,0.6,8.4,16.8,2006,68,15,16.7,0.3,1.6,3971
"87","South Dakota",2477,2282,7.4,83.8,0.5,7.3,0,0,3414,60948,4258,28861,2205,8.3,7.9,36,13,17.2,16.6,17.2,76.7,9.7,0,2.9,1.9,8.8,17.1,2471,71.5,15.2,12.8,0.5,1.6,4759
"88","North Dakota",1168,1200,0.5,93,1.6,1.1,2.6,0,1862,54700,10365,35933,4260,9.2,8.8,44.6,10.7,15,17.5,12.2,73.9,9.4,0.6,6,2.9,7.3,17.3,1275,73.7,10.6,15.2,0.5,1.6,2368
"89","North Dakota",4974,4633,2.3,89.6,0.6,6.5,0,0,7564,63926,4841,36953,2024,8.9,11.1,34.1,15.4,17.3,19.3,14,71.6,9.8,0.5,5,0.9,12.3,23.1,4670,68.8,17.1,13.5,0.6,1.6,9607
"90","Nebraska",4349,4212,1.7,97,0,0.8,0,0,6400,57208,2946,29694,1971,9.7,13.9,34.9,15.7,21.2,14.1,14,76.7,6.7,0,5.2,1.5,9.8,16.4,4599,69.5,15.4,14.5,0.6,1.6,8561
"91","Texas",311,369,21.6,77.1,0.7,0.6,0,0,527,52250,12784,27515,5559,17.9,42,40.1,16.1,21.7,13.5,8.6,72.3,9.3,0,15,1.7,1.7,7.7,304,51.3,39.5,8.2,1,1.6,680
"92","North Dakota",2155,2117,1,94.1,0.8,3.6,0,0,3388,45996,5775,26619,2814,17.6,26.2,41.9,15.9,21.4,15,5.7,83.2,4.6,0,5.2,0,6.9,14.9,2003,68.7,8.9,21.1,1.3,1.6,4272
"93","Nebraska",1038,1011,0.7,95,0.5,1.5,0.9,0,1563,48750,7047,26413,3070,9.8,5.6,43.4,12,15.2,17.5,11.9,65.1,5.4,0,8,1.1,20.5,17.2,1020,54.8,17.5,26.2,1.5,1.6,2049
"94","Kansas",1270,1291,3.2,88.8,4.1,0.1,0.7,0,2030,43427,4600,27165,2245,12.3,16.8,32.9,21,22.8,13.8,9.5,77.9,9,0.1,2.5,3,7.5,15,1207,59.9,25.6,14.5,0,1.7,2561
"95","Montana",926,862,2.8,96.6,0,0.6,0,0,1397,53591,3318,36108,6047,4.6,1.8,47.7,13.8,20.8,13.6,4.1,78.3,7.2,0,5.8,0.3,8.4,11.4,925,62.3,13.8,23.9,0,1.7,1788
"96","Iowa",7016,7180,1.6,96.5,0.2,0.3,0.3,0.1,10917,57558,2479,29332,1095,10.4,13.1,31.4,13.5,23,13.2,18.9,81.5,9,0.2,2.6,1.9,4.7,26.4,7308,80,10.2,9.7,0.1,1.7,14196
"97","Nebraska",10118,10296,2.8,94.7,1,0.1,0.3,0,15268,66485,4187,33136,1542,9.8,14.7,37.1,14.5,24.8,11.7,11.9,84.1,5.9,0.2,4,0.7,5.2,20.8,10805,82.2,11.7,5.8,0.2,1.7,20414
"98","Montana",1526,1399,1.8,93.8,1.4,0.5,1,0,2135,56806,11052,32371,3222,5.8,9.5,25.3,17.4,18.2,23.1,16,74.6,5.4,0,9.9,0.4,9.6,13.1,1601,71.2,18.1,10.6,0.2,1.7,2925
"99","Iowa",3099,3050,7.4,90.4,1.3,0,0.1,0.1,4509,53604,4056,26776,1524,11.4,18.6,32,16.5,16.5,18.9,16.1,78.1,11.3,0.2,3.6,1.6,5.2,19.1,3197,75.7,11.4,12.7,0.2,1.7,6149
"100","Nebraska",2691,2666,2,96.7,0.5,0,0.1,0.1,4080,53854,2563,28861,1576,7.3,6.6,34.3,17.7,17.6,15.1,15.4,75.8,6.9,0,3.8,0.7,12.9,15.5,2769,70.4,12.5,17,0.2,1.7,5357
"101","Montana",5916,5979,3.2,92.4,0.5,1.3,0.4,0,9232,53050,8518,28501,2369,9.8,9.8,33.8,16.7,27.6,12.3,9.5,77.1,10,0.7,3.5,1.7,7,12.8,6417,73.1,16.8,9.8,0.3,1.7,11895
"102","South Dakota",3024,2887,3.7,94.5,0.2,0.7,0.2,0,3962,61784,1902,27060,1586,5.6,4.7,31.7,13.2,18.9,17.2,19,72.1,11.3,0,7.5,2.3,6.9,19.9,2874,77.5,9.3,12.9,0.3,1.7,5911
"103","Nebraska",2163,2155,2.6,95.5,0.3,0,1.2,0,3387,42055,3430,24426,1466,10.8,16,34.8,17.2,22.4,14.7,10.8,76.9,11.1,0.3,2.8,0.1,8.8,16.1,2224,69,13.6,17,0.4,1.7,4318
"104","Montana",2969,3071,1.5,94.2,0.2,1.2,0.2,0,4601,51060,4458,26884,1443,9.8,10.3,37.3,14.5,19.8,17.6,10.8,66.6,13,0.9,8.2,3.6,7.6,18.4,2746,66.9,18.4,14.2,0.5,1.7,6040
"105","Nebraska",1518,1530,2,97.1,0,0,0.6,0,2388,48704,4197,27983,2940,10.7,18.1,37.8,15,15.9,15.6,15.8,75.4,11.6,0.2,4.6,2,6.2,25.5,1515,70.5,10.5,18.5,0.5,1.7,3048
"106","Iowa",5519,5452,3.9,93.8,0.6,0.3,0.1,0,8396,57840,2889,29147,1474,9.1,12,32.6,14.6,20.1,9.1,23.5,79.2,8.2,0.5,2.3,1.2,8.5,18.2,5653,76.1,12.6,10.6,0.6,1.7,10971
"107","Kansas",1324,1353,6.5,90.3,0,0,0.9,0,2052,47167,5000,27934,2284,11.2,14.4,37.7,13.6,21.7,15.7,11.3,71.7,8.6,0,10.1,2.2,7.4,13.2,1248,64.4,21.8,13,0.8,1.7,2677
"108","Nebraska",1203,1233,2,96.2,0.6,0,0.4,0,1844,47218,7708,25544,1682,9.8,14.3,36.5,14,18.9,23,7.5,70.4,7.6,1,6.9,0.6,13.5,21.7,1183,68.8,9.6,20.9,0.8,1.7,2436
"109","North Dakota",1310,1370,2.2,95.1,0,0.3,1,0,2174,46012,4721,31133,2561,9.9,5.9,37.8,19.3,17.1,16.3,9.5,68.9,6.2,0.2,13.4,2.5,8.8,11.5,1364,63.3,17.7,17.4,1.5,1.7,2680
"110","North Dakota",993,939,1.6,96.3,0.1,0.3,0.3,0,1554,57379,4488,31952,2481,7.5,2.2,39.7,18,14.2,17.5,10.7,58.2,8.5,0,15.6,1,16.7,14.4,1030,57,10.7,30.5,1.8,1.7,1932
